N;S_wide;S_narrow;rel_err_wide;rel_err_narrow
100;1.65276311235;0.95;0.749849697839;0.00580488548265
600;0.858788676025;0.933333333333;0.0907643726915;0.0118408142627
1100;0.821962403468;0.956818181818;0.129753893588;0.013023580833
1600;0.917526580753;0.9515625;0.0285760868614;0.00745916983377
2100;0.9536952413;0.939880952381;0.00971719259058;0.00490857507701
2600;1.02830284139;0.946634615385;0.0887073911894;0.00224181149561
3100;0.871856063061;0.937903225806;0.0769293814056;0.00700247723572
3600;0.923602915725;0.953819444444;0.0221428159135;0.00984869167428
4100;0.962728584812;0.945426829268;0.0192811726293;0.0009630776257
4600;0.929943439174;0.954619565217;0.015429837533;0.0106958131294
5100;0.976026197835;0.941666666667;0.0333599138334;0.00301796439001
5600;0.928811202844;0.9515625;0.0166285836724;0.00745916983377
6100;0.889336370966;0.940983606557;0.0584222455215;0.0037411488058
6600;0.964848340989;0.924810606061;0.0215254474907;0.0208641834506
7100;0.955781816421;0.936443661972;0.0119263372756;0.00854777874681
7600;0.964538225009;0.936513157895;0.0211971146831;0.00847420049547
8100;0.960210958518;0.939660493827;0.0166156559704;0.0051419838038
8600;0.941690610525;0.94273255814;0.00299261402196;0.00188946033653
9100;0.947641163965;0.941895604396;0.00330748673769;0.0027755784045
9600;0.879043125931;0.947265625;0.0693201361984;0.00290988786818
10100;0.96066254288;0.94900990099;0.0170937672937;0.00475662609183
10600;0.998811891981;0.944811320755;0.0574840848761;0.000311412920426
11100;0.925792585985;0.94268018018;0.0198245200764;0.00194491508117
11600;0.957965637635;0.934806034483;0.0142384404817;0.0102816037248
12100;0.944091714638;0.946384297521;0.000450464287391;0.00197678946352
12600;0.969127203133;0.953273809524;0.0260556584901;0.00927100507547
13100;0.939559093056;0.94427480916;0.00524934105784;0.000256614429866
13600;0.945763666799;0.946966911765;0.00131970166134;0.00259362762458
14100;0.952907226228;0.942553191489;0.0088828879489;0.00207936333973
14600;0.95423430298;0.945719178082;0.0102879198241;0.00127259958916
15100;0.954185793729;0.947930463576;0.010236561043;0.00361378038182
15600;0.966604670911;0.943669871795;0.0233849477181;0.000897087016775
16100;0.991537095535;0.938664596273;0.0497819524485;0.00619638235656
16600;0.959328837005;0.947138554217;0.0156817168888;0.00277535269505
17100;0.947766119122;0.94649122807;0.00343978200813;0.00209000132574
17600;0.902059546279;0.936434659091;0.044951685638;0.00855731047483
18100;0.98080774883;0.944475138122;0.038422342624;4.45177478443e-05
18600;0.993121414758;0.946706989247;0.0514593377274;0.00231843674264
19100;0.92640248367;0.947643979058;0.0191787957909;0.00331046719404
19600;0.987094415839;0.945535714286;0.0450783009303;0.00107835876515
20100;0.943192294142;0.944589552239;0.0014027185291;7.66172817423e-05
20600;0.959942938469;0.941747572816;0.0163318918916;0.00293230565338
21100;0.961616006544;0.93981042654;0.0181032393058;0.00498324374553
21600;0.910099949121;0.94681712963;0.0364389735756;0.00243504698962
22100;0.960775788494;0.943665158371;0.0172136651798;0.000902077316477
22600;0.947693164109;0.936504424779;0.00336254147302;0.00848344661201
23100;0.932230785295;0.942965367965;0.0130081281606;0.00164297479947
23600;0.945024571219;0.948252118644;0.000537190140251;0.00395433010681
24100;0.953656821478;0.940663900415;0.00967651591199;0.00407963512157
24600;0.910561026029;0.946544715447;0.0359508120944;0.0021466306574
25100;0.955558143465;0.949900398406;0.0116895253267;0.00569943309373
25600;0.957782299942;0.945654296875;0.0140443331687;0.00120390713108
26100;0.93198406741;0.945210727969;0.0132693387439;0.000734282107556
26600;0.950283965526;0.948120300752;0.00610553170752;0.00381476897002
